title,year,genre2,genre3,runtime,rating,votes
Dorohedoro,2020, Action, Comedy,25,8.1,"9,132"
Gekijouban Violet Evergarden,2020, Drama, Fantasy,140,8.3,"7,341"
Catwoman: Hunted,2022, Action, Crime,78,5.6,"2,707"
Nakitai watashi wa neko o kaburu,2020, Adventure, Drama,104,6.7,"10,883"
Cryptozoo,2021, Fantasy,,95,6.4,"1,846"
Aqua Teen Forever: Plantasm,2022, Comedy,,79,6.3,499
Justice Society: World War II,2021, Action, Adventure,84,6.4,"7,738"
Tower of God,2020, Action, Adventure,23,7.7,"5,971"
The Loud House,2021, Adventure, Comedy,83,6.1,"2,263"
Bigfoot Family,2020, Adventure, Family,89,5.8,"3,021"
Kipo and the Age of Wonderbeasts,2020, Action, Adventure,24,8.3,"6,107"
Le sommet des dieux,2021, Adventure, Drama,95,7.5,"6,648"
Trick or Treat Scooby-Doo!,2022, Adventure, Comedy,72,5.8,"1,478"
Trollhunters: Rise of the Titans,2021, Action, Adventure,104,6.7,"5,202"
Made in Abyss: Fukaki Tamashî no Reimei,2020, Adventure, Drama,113,8,"4,169"
Riverdance: The Animated Adventure,2021, Adventure, Comedy,90,5.5,"2,050"
Hit-Monkey,2021, Action, Adventure,22,7.8,"7,439"
Batman: The Long Halloween,2021, Action, Crime,168,7.5,606
The Prince,2021, Comedy,,14,5.6,"2,962"
Seal Team,2021, Action, Comedy,101,5.6,"1,525"
Diary of a Wimpy Kid,2021, Comedy, Drama,58,5.1,"3,353"
Ore dake Haireru Kakushi Dungeon,2021, Action, Adventure,24,6.4,"1,583"
Minions & More 1,2022, Adventure, Comedy,48,6.5,"1,375"
"Batman: The Long Halloween, Part Two",2021, Action, Crime,87,7.1,"13,997"
Shchelkunchik i volshebnaya fleyta,2022, Family, Fantasy,90,6,60
Mortal Kombat Legends: Scorpion's Revenge,2020, Action, Adventure,80,7.4,"17,937"
The Spine of Night,2021, Action, Adventure,93,6.4,"2,281"
Centaurworld,2021, Short, Adventure,25,7.7,"2,271"
Pil,2021, Adventure, Family,89,6.1,821
Knor,2022, Comedy, Family,72,7.6,349
Minions & More 2,2022, Adventure, Comedy,50,6.4,471
Hoops,2020, Comedy, Sport,25,6,"6,574"
Mechamato Movie,2022, Action, Adventure,120,8,135
Mortal Kombat Legends: Battle of the Realms,2021, Action, Adventure,80,6.5,"6,942"
100% Wolf,2020, Adventure, Comedy,96,5.6,"1,957"
The God of High School,2020, Action, Adventure,24,7.3,"6,713"
Dragon Rider,2020, Adventure, Comedy,91,5.7,"1,794"
Kimetsu no Yaiba: Natagumo Yama Hen,2020, Action, Fantasy,138,8.8,"11,775"
Where Is Anne Frank,2021, Drama, Family,99,6.5,"1,094"
Ooops! The Adventure Continues,2020, Adventure, Comedy,85,5.8,657
Shika no ou,2021, Action, Adventure,113,6.4,505
Hope's Legacy,2021, Drama, Family,103,5.9,82
Ernest et Célestine: Le voyage en Charabie,2022, Adventure, Family,80,7.1,121
Fruits Basket: Prelude,2022, Drama, Romance,88,7.6,453
M.O.D.O.K.,2021, Action, Comedy,22,6.4,"5,451"
Gekijôban Sword Art Online Progressive Hoshi naki yoru no Aria,2021, Action, Adventure,97,7.2,"1,379"
Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux ?,2022, Family,,82,7.2,231
Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,2022, Action, Adventure,79,5.5,436
A Tale Dark & Grimm,2021, Action, Adventure,26,7.3,"1,551"
Moonbound,2021, Adventure, Comedy,85,4.8,505
Santa Inc.,2021, Comedy,,30,1.6,"15,038"
Batman: Soul of the Dragon,2021, Action, Adventure,83,6.1,"6,275"
Folk og røvere i Kardemomme by,2022, Family,,78,7.5,75
Totsukuni no shôjo,2022, Fantasy, Mystery,70,6.7,320
Jungle Beat: The Movie,2020, Adventure, Comedy,88,5.4,"1,113"
A Christmas Carol,2020, Drama,,94,5.1,340
Around the World in 80 Days,2021, Adventure, Comedy,82,4.7,665
Gleipnir,2020, Action, Fantasy,24,6.8,"1,503"
Deathstroke Knights & Dragons: The Movie,2020, Action, Adventure,87,6.3,"3,773"
Mia and Me: The Hero of Centopia,2022, Adventure, Family,85,5.7,491
Rock Dog 3 Battle the Beat,2022, Adventure, Comedy,90,8.5,22
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,2022, Comedy, Romance,90,8.8,39
"Gubbai, Don Gurîzu!",2021, Adventure, Drama,95,6.8,199
ID:Invaded,2020, Crime, Drama,24,7.6,"2,829"
The SpongeBob SquarePants Movie Rehydrated,2022, Adventure, Comedy,87,8.3,136
Altered Carbon: Resleeved,2020, Action, Crime,74,6.5,"6,370"
Cider no yô ni kotoba ga wakiagaru,2020, Drama, Music,87,6.8,"4,249"
Ai no utagoe o kikasete,2021, Drama, Music,109,7.2,515
Vampire in the Garden,2022, Action, Adventure,25,6.7,"1,316"
Unicorn Wars,2022, Action, Comedy,80,6.9,249
"Hansel, Gretel i Agentstvo Magii",2021, Adventure, Comedy,103,6.2,"4,294"
Joze to tora to sakanatachi,2020, Drama, Romance,99,7.6,"5,411"
Phineas and Ferb the Movie: Candace Against the Universe,2020, Adventure, Comedy,86,7.1,"4,725"
Rock Dog 2,2021, Adventure, Comedy,87,5,416
Coppelia,2021, Family, Sci-Fi,82,6,131
Mavka. Lisova pisnya,2022, Comedy, Fantasy,90,8.9,13
Bai She 2: Qing She jie qi,2021, Action, Adventure,131,6.7,"2,705"
Eiga Go-Toubun no Hanayome,2022, Comedy, Drama,136,7.3,914
Gekijouban Bishoujo Senshi Sailor Moon Eternal,2021, Action, Adventure,160,7,"1,340"
Monster Family 2,2021, Comedy, Family,103,4.8,873
Shingeki no Kyojin: Chronicle,2020, Action, Adventure,122,8.5,"10,540"
Bolshoye puteshestviye. Spetsialnaya dostavka,2022, Adventure, Comedy,90,5,204
Kimetsu no Yaiba: Asakusa Hen,2021, Action, Fantasy,103,8.7,"2,267"
Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,2020, Action, Adventure,120,7.9,"2,095"
Cats & Dogs 3: Paws Unite,2020, Action, Adventure,84,3.8,"1,005"
Night of the Animated Dead,2021, Horror,,71,4.5,679
Finding Jesus,2020, Family, Fantasy,69,1.1,621
Glitch Techs,2020, Action, Adventure,25,7.7,"1,542"
Alien Worlds,2020, , Sci-Fi,42,6.5,"3,789"
Buka. Moyo lyubimoe chudishche,2021, Adventure, Family,98,4.9,331
Eiga daisuki Pompo-san,2021, Comedy, Drama,94,7.2,714
Drømmebyggerne,2020, Adventure, Comedy,81,6,"1,523"
Kidô senshi Gandamu: Senkô no Hasauei,2021, Action, Drama,95,6.6,"1,565"
Gintama: The Final,2021, Action, Comedy,104,8.5,"2,473"
Detective Conan: The Bride of Halloween,2022, Action, Crime,111,6.9,975
Umibe no Étranger,2020, Drama, Romance,59,7.1,"1,873"
You Are My Home,2020, Family, Fantasy,92,6.6,585
The Timekeepers of Eternity,2021, Horror, Mystery,64,7,173
Goblin Slayer: Goblin's Crown,2020, Action, Adventure,85,6.6,"1,556"
Kimetsu no Yaiba: Hashira Gou Kaigi - Chouyashiki Hen,2020, Action, Fantasy,106,8.5,"2,892"
Kidô senshi Gundam Cucuruz Doan no shima,2022, Action, Drama,109,6.5,194
Paw Patrol: Jet to the Rescue,2020, Adventure, Family,56,5.6,227
Digimon Adventure: Last Evolution Kizuna,2020, Action, Adventure,94,7.5,"1,630"
Lamya's Poem,2021, Adventure, Family,89,7.5,49
Ultra City Smiths,2021, Comedy, Crime,18,6.6,349
Angela's Christmas Wish,2020, Adventure, Comedy,47,7.1,"1,593"
ThunderCats Roar,2020, Action, Comedy,11,2.1,"2,585"
Gekijouban Nanatsu no Taizai: Hikari ni Norowareshi Mono-tachi,2021, Action, Adventure,79,6.3,"1,080"
Xin shen bang: Yang Jian,2022, Action, Fantasy,127,6.5,282
Bobbleheads: The Movie,2020, Family,,82,2.3,396
The Harper House,2021, Comedy,,30,5.2,336
Gyokô no Nikuko-chan,2021, Comedy, Drama,97,6.8,611
Kemono Jihen,2021, Action, Fantasy,24,7.3,"1,525"
Bright: Samurai Soul,2021, Action, Adventure,80,5.5,910
The Pink Panther,2022, Comedy, Family,90,8.6,18
Kyochuu Rettou,2020, Adventure, Horror,80,4.1,221
Deathstroke: Knights & Dragons,2020, Action, Adventure,92,6.6,"2,454"
Xiong shi shao nian,2021, Comedy, Drama,104,7.6,"1,055"
Pattie et la colère de Poséidon,2022, Adventure, Comedy,95,8.8,7
Eiga Karakai Jouzu no Takagi-san,2022, Comedy, Romance,73,7.7,251
Koati,2021, Adventure, Family,92,5.2,224
Kamiarizuki no kodomo,2021, Adventure, Drama,99,5.9,969
Un rescate de huevitos,2021, Adventure, Comedy,88,5.4,210
Josep,2020, Biography, Drama,71,7.4,"1,901"
Xin shen bang: Ne Zha chong sheng,2021, Action, Fantasy,118,6.8,"3,362"
Fearless,2020, Comedy, Family,89,4.9,"1,817"
Yuku et la fleur de l'Himalaya,2022, Family,,62,7.3,40
Burn the Witch,2020, Action, Fantasy,63,6.7,974
Gulliver Returns,2021, Adventure, Family,90,4.5,243
My Love Affair with Marriage,2022, Comedy, Drama,107,7.4,129
Titina,2022, Adventure, Family,91,8,80
Quantum Cowboys,2022, Comedy, Sci-Fi,99,7.5,71
Adventure Beast,2021, Adventure, Comedy,20,5.3,607
Kôkaku kidôtai SAC_2045 Jizoku kanô sensô,2021, Action, Sci-Fi,119,5.9,358
Angry Birds: Summer Madness,2022, Short, Action,11,5.8,735
Sabikui Bisco,2022, Action, Adventure,24,7,790
Smelliville,2021, Adventure, Family,85,5.1,322
Gekijouban Poketto monsutâ: koko,2020, Action, Adventure,99,6.4,"2,127"
D'Artacán y los tres Mosqueperros,2021, Family, Romance,84,5.2,375
"Happy Halloween, Scooby-Doo!",2020, Adventure, Comedy,80,6.2,"1,687"
"Yakari, le film",2020, Adventure, Family,82,6.3,424
Die Mucklas ... und wie sie zu Pettersson und Findus kamen,2022, Adventure, Family,81,4.7,48
"Saules aveugles, femme endormie",2022, Drama, Sci-Fi,100,7.3,100
Santaman,2022, Adventure, Family,87,4.1,61
Koshchey. Pokhititel nevest,2022, Adventure, Comedy,76,5.8,107
Eiga Entotsumachi no Puperu,2020, Family, Fantasy,100,6.4,470
Lego DC Shazam!: Magic and Monsters,2020, Action, Adventure,81,6.2,"1,078"
The Bacon Hair,2020, Action, Adventure,76,8.1,116
Bamse och vulkanön,2021, Adventure, Family,69,5.5,156
Icare,2022, Adventure, Family,76,6.8,185
Christmas Thieves,2021, Comedy, Family,77,4,157
I mysi patrí do nebe,2021, Adventure, Comedy,80,6.6,520
Petit vampire,2020, Family, Fantasy,85,6.3,439
Yes ka No ka Hanbun ka,2020, Comedy, Drama,53,6.8,468
Lonely Castle in the Mirror,2022, Drama, Fantasy,116,7.1,15
Ternet Ninja 2,2021, Action, Adventure,86,6.9,"1,538"
Supreme Motherhood: The Journey of Mata Sahib Kaur,2022, Adventure, History,100,9.2,90
Ella and the Little Sorcerer,2021, Adventure, Family,86,4.2,260
Riki Rhino,2020, Adventure, Family,92,6.1,52
Stand by Me Doraemon 2,2020, Comedy, Drama,96,7.5,"4,144"
Saezuru Tori Wa Habatakanai: The Clouds Gather,2020, Crime, Drama,85,6.8,765
Kimi wa kanata,2020, Drama, Fantasy,95,5.4,256
Die Häschenschule - Der große Eierklau,2022, Adventure, Comedy,76,5.5,201
