title,year,genre2,genre3,runtime,rating,votes
Gekijôban Shirobako,2020, Comedy, Drama,119,7.1,216
Wild Life,2020, Short, Comedy,12,6,140
"Hataraku Saibo!! Saikyo no Teki, Futatabi. Karada no Naka wa Cho Osawagi!",2020, Action, Sci-Fi,115,7.2,96
Spaced Cats,2020, Comedy, Sci-Fi,69,5,16
Chun Tae-Il,2021, Biography, Drama,99,7.2,37
Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,2021, Family, Fantasy,65,6.3,26
Free! the Final Stroke,2021, Drama, Sport,86,6.9,113
Açela,2020, Adventure, Comedy,70,2.8,"3,820"
Absolute Denial,2021, Sci-Fi,,71,7.5,70
Brandon Bott Gets Grounded: The Movie,2021, Comedy, War,87,2.7,18
Meine Freundin Conni - Geheimnis um Kater Mau,2020, Adventure,,80,6.2,117
Meu Tio José,2021, Drama,,89,7.8,21
Break of Dawn,2022, Sci-Fi,,120,4.9,9
The Magic School Bus Rides Again: Kids in Space,2020, Adventure, Comedy,45,6.2,89
Freddy vs. Jason vs. Ash Comic Film,2020, Horror,,72,7.1,16
High School Fleet the Movie,2020, Action, Adventure,105,8,67
Kimetsu Orchestra Concert,2021, Music,,114,8.5,192
Horrid Henry's Gross Day Out,2020, Action, Adventure,61,5.8,47
Aria the Benedizione,2021, Drama, Sci-Fi,60,7.6,34
Chong chu di qiu,2022, Sci-Fi,,100,5.5,23
Kek - The Movie,2021, Comedy,,73,8.9,12
Dônika naru hibi,2020, Drama, Romance,54,5.6,109
Adit Sopo Jarwo: The Movie,2021, Comedy, Drama,82,7.2,98
Enchantimals: Spring Into Harvest Hills,2020, Action, Adventure,45,6.6,35
Battleworld,2022, Action, Adventure,205,8.1,8
Jurassic Planet,2021, Comedy, Family,61,7,56
Meta Runner Season 1 (Full Movie Cut),2020, Action, Adventure,124,8.4,16
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021, Family,,60,6.5,44
Turkey Day,2020, Comedy,,80,2.2,14
Frank & Zed,2020, Horror,,90,7.1,99
The Red Scroll,2020, Adventure, Family,90,8,84
Zara & Erika: A Tale of Annabelle,2021, Action, Adventure,90,6.9,20
La Liga de los 5,2020, Action, Comedy,89,6.3,139
Super Mario Bros. Z 4K,2020, Action, Adventure,200,8.8,23
Sonic Rebuilt,2020, Comedy,,61,7.4,36
Master Ji Gong,2021, Adventure, Fantasy,93,6.4,22
Shrimad Rajchandra,2021, Biography, Family,100,9.3,53
Houkago Teibou Nisshi,2020, Comedy, Drama,23,7.2,150
Gal to Kyouryuu,2020, Comedy,,25,6.9,44
Thomas & Friends: Marvelous Machinery,2020, Action, Adventure,45,6.1,16
The Thanksgiving Movie,2020, Family,,77,4.7,23
Black Beauty,2021, Adventure, Drama,70,5.2,6
Groundhog Dave 2,2020, Comedy,,68,5.8,16
Monstruosamente Solo,2020, Comedy, Drama,88,7.4,21
Wrath of the Tarot Kings,2022, Action, Adventure,105,8.8,9
Les voisins de mes voisins sont mes voisins,2021, Family,,93,5.8,28
Slucajna raskos prozirnog vodenog rebusa,2020, Fantasy, Thriller,81,6.1,238
Louisa: An Amazing Adventure,2021, Adventure,,62,7.8,21
Miao Xian Sheng,2020, Adventure, Fantasy,89,5.8,82
Buurman & Buurman: Bakken En Grillen,2021, Family,,60,8.3,28
Left Hook,2020, Crime, Drama,92,6.9,13
Hello! Tapir,2020, Drama, Fantasy,88,6.6,33
Shoujo Kageki Revue Starlight: Rondo Rondo Rondo,2020, Drama, Music,119,8.2,44
Fura furadansu,2021, Comedy, Drama,108,5.2,8
Uchû senkan Yamato 2205: Aratanaru tabidachi kôshô -STASHA-,2022, Sci-Fi,,102,6.8,8
Barevný sen,2020, Family,,74,7.1,16
When Stars Align,2020, Adventure, Fantasy,45,8.2,14
Princess Principal Crown Handler: Chapter 2,2021, Action, Adventure,56,7.6,30
Wo men de dong ao,2022, Sport,,90,5.5,26
Bang Dream! Film Live 2nd Stage,2021, Comedy, Music,85,7.2,26
Özcan Show,2021, Comedy,,10,5.5,50
Kiniro Mosaic: Thank You!!,2021, Comedy,,82,6.1,19
Victor_Robot,2020, Adventure, Sci-Fi,75,7.5,105
Gekijouban Bang Dream! Episode of Roselia: Promise,2021, Drama, Music,77,7.7,31
00K9,2020, Action, Comedy,70,4,14
Süper Bir Takim,2021, Comedy,,15,5,28
Teddy Boom!,2021, Adventure, Comedy,70,6.1,20
Esluna: The Crown of Babylon,2021, Adventure, Fantasy,102,6.8,13
The Embryo Who Came in from the Cold,2020, Adventure, Comedy,90,5.9,16
Resurrection Corporation,2021, Comedy, Horror,77,7.7,16
City of Lost Things,2020, Drama,,91,5.1,36
00K9: No Time to Shed,2021, Comedy, Family,90,7.6,70
Captain Pineapple - Der Film,2021, Action, Comedy,71,7.7,8
Future's Folktales,2020, Adventure, Family,23,7.9,50
Gekijouban Bang Dream! Episode of Roselia: Song I Am.,2021, Drama, Music,70,7.5,25
The Nightmare Returns: A CarrotKiller101 Movie,2020, Horror,,99,8.2,6
Zabytoye chudo,2022, Fantasy, Adventure,90,3.8,19
Violy & Jahari: Dorm 420,2022, Comedy, Romance,89,7.4,8
"Come in cielo, così in terra",2020, Mystery, Thriller,93,6.8,34
The Lion Kid 2,2020, Family, Western,73,3.4,7
My Father Mujib,2021, Biography,,49,5.9,43
Brightheart,2020, Family, Fantasy,85,4.9,45
Avenger Dogs 2: Wonder Dogs,2020, Comedy, Family,70,5.3,8
April Fools Fright,2020, Comedy, Family,71,5.7,9
Fantasy Ireland,2020, Comedy, Fantasy,11,8,31
Röckët Stähr's Death of a Rockstar,2020, Comedy, Musical,92,8.5,30
Casa: Perros vs. Aliens,2020, Adventure, Comedy,73,7.7,8
Under the Sea 2,2021, Comedy, Family,70,5.8,21
Tundama,2020, Adventure,,71,6.2,10
Lur eta Amets,2020, Adventure,,87,7.4,79
Dope Boys,2020, Action, Crime,87,8.5,7
Zhen Dao Ge Zhi Chen Shi Xing,2022, Action,,100,7,6
Gekijôban G No Reconguista II: Bellri Gekishin,2020, Action, Adventure,95,6.9,29
Hopz,2020, Comedy, Family,60,6.2,9
The Forevers,2020, Action, Adventure,120,7.3,32
Keul-la-i-ming,2020, Drama, Sport,77,4.3,11
Mutiny of the Red Water,2021, Adventure, Sci-Fi,98,8,10
Easterland 2,2020, Family,,70,5.3,9
Fishtales 4,2021, Family,,74,2.8,7
Captain Vidyut,2020, Action, Comedy,77,7.4,17
Wilson's Silence,2020, Crime, Mystery,82,7.5,120
An Egg's Guide to Minecraft,2020, Action, Adventure,70,8,10
Elulu,2021, Drama, Sci-Fi,61,6.2,7
Just Speechless,2020, Crime, Drama,87,7.2,127
